Month,Year,LA_Births
1997-10-01,1997,6773
1997-11-01,1997,6215
1997-12-01,1997,6453
1997-01-01,1997,6355
1997-02-01,1997,5928
1997-03-01,1997,6686
1997-04-01,1997,6717
1997-05-01,1997,7075
1997-06-01,1997,6906
1997-07-01,1997,7272
1997-08-01,1997,7063
1997-09-01,1997,6921
1997-10-01,1997,6773
1997-11-01,1997,6215
1997-12-01,1997,6453
1997-01-01,1997,6355
1997-02-01,1997,5928
1997-03-01,1997,6686
1997-04-01,1997,6717
1997-05-01,1997,7075
1997-06-01,1997,6906
1997-07-01,1997,7272
1997-08-01,1997,7063
1997-09-01,1997,6921
1997-10-01,1997,6773
1997-11-01,1997,6215
1997-12-01,1997,6453
1997-01-01,1997,6355
1997-02-01,1997,5928
1997-03-01,1997,6686
1997-04-01,1997,6717
1997-05-01,1997,7075
1997-06-01,1997,6906
1997-07-01,1997,7272
1997-08-01,1997,7063
1997-09-01,1997,6921
1997-10-01,1997,6773
1997-11-01,1997,6215
1997-12-01,1997,6453
1997-01-01,1997,6355
1997-02-01,1997,5928
1997-03-01,1997,6686
1997-04-01,1997,6717
1997-05-01,1997,7075
1997-06-01,1997,6906
1997-07-01,1997,7272
1997-08-01,1997,7063
1997-09-01,1997,6921
1997-10-01,1997,6773
1997-11-01,1997,6215
1997-12-01,1997,6453
1997-01-01,1997,6355
1997-02-01,1997,5928
1997-03-01,1997,6686
1997-04-01,1997,6717
1997-05-01,1997,7075
1997-06-01,1997,6906
1997-07-01,1997,7272
1997-08-01,1997,7063
1997-09-01,1997,6921
1997-10-01,1997,6773
1997-11-01,1997,6215
1997-12-01,1997,6453
1998-01-01,1998,6504
1998-02-01,1998,6121
1998-03-01,1998,6947
1998-04-01,1998,6835
1998-05-01,1998,7273
1998-06-01,1998,6929
1998-07-01,1998,7315
1998-08-01,1998,7052
1998-09-01,1998,7012
1998-10-01,1998,6755
1998-11-01,1998,6159
1998-12-01,1998,6509
1998-01-01,1998,6504
1998-02-01,1998,6121
1998-03-01,1998,6947
1998-04-01,1998,6835
1998-05-01,1998,7273
1998-06-01,1998,6929
1998-07-01,1998,7315
1998-08-01,1998,7052
1998-09-01,1998,7012
1998-10-01,1998,6755
1998-11-01,1998,6159
1998-12-01,1998,6509
1998-01-01,1998,6504
1998-02-01,1998,6121
1998-03-01,1998,6947
1998-04-01,1998,6835
1998-05-01,1998,7273
1998-06-01,1998,6929
1998-07-01,1998,7315
1998-08-01,1998,7052
1998-09-01,1998,7012
1998-10-01,1998,6755
1998-11-01,1998,6159
1998-12-01,1998,6509
1998-01-01,1998,6504
1998-02-01,1998,6121
1998-03-01,1998,6947
1998-04-01,1998,6835
1998-05-01,1998,7273
1998-06-01,1998,6929
1998-07-01,1998,7315
1998-08-01,1998,7052
1998-09-01,1998,7012
1998-10-01,1998,6755
1998-11-01,1998,6159
1998-12-01,1998,6509
1998-01-01,1998,6504
1998-02-01,1998,6121
1998-03-01,1998,6947
1998-04-01,1998,6835
1998-05-01,1998,7273
1998-06-01,1998,6929
1998-07-01,1998,7315
1998-08-01,1998,7052
1998-09-01,1998,7012
1998-10-01,1998,6755
1998-11-01,1998,6159
1998-12-01,1998,6509
1998-01-01,1998,6504
1998-02-01,1998,6121
1998-03-01,1998,6947
1998-04-01,1998,6835
1998-05-01,1998,7273
1998-06-01,1998,6929
1998-07-01,1998,7315
1998-08-01,1998,7052
1998-09-01,1998,7012
1998-10-01,1998,6755
1998-11-01,1998,6159
1998-12-01,1998,6509
1998-01-01,1998,6504
1998-02-01,1998,6121
1998-03-01,1998,6947
1998-04-01,1998,6835
1998-05-01,1998,7273
1998-06-01,1998,6929
1998-07-01,1998,7315
1998-08-01,1998,7052
1998-09-01,1998,7012
1998-10-01,1998,6755
1998-11-01,1998,6159
1998-12-01,1998,6509
1998-01-01,1998,6504
1998-02-01,1998,6121
1998-03-01,1998,6947
1998-04-01,1998,6835
1998-05-01,1998,7273
1998-06-01,1998,6929
1998-07-01,1998,7315
1998-08-01,1998,7052
1998-09-01,1998,7012
1998-10-01,1998,6755
1998-11-01,1998,6159
1998-12-01,1998,6509
1998-01-01,1998,6504
1998-02-01,1998,6121
1998-03-01,1998,6947
1998-04-01,1998,6835
1998-05-01,1998,7273
1998-06-01,1998,6929
1998-07-01,1998,7315
1998-08-01,1998,7052
1998-09-01,1998,7012
1998-10-01,1998,6755
1998-11-01,1998,6159
1998-12-01,1998,6509
1998-01-01,1998,6504
1998-02-01,1998,6121
1998-03-01,1998,6947
1998-04-01,1998,6835
1998-05-01,1998,7273
1998-06-01,1998,6929
1998-07-01,1998,7315
1998-08-01,1998,7052
1998-09-01,1998,7012
1998-10-01,1998,6755
1998-11-01,1998,6159
1998-12-01,1998,6509
1998-01-01,1998,6504
1998-02-01,1998,6121
1998-03-01,1998,6947
1998-04-01,1998,6835
1998-05-01,1998,7273
1998-06-01,1998,6929
1998-07-01,1998,7315
1998-08-01,1998,7052
1998-09-01,1998,7012
1998-10-01,1998,6755
1998-11-01,1998,6159
1998-12-01,1998,6509
1998-01-01,1998,6504
1998-02-01,1998,6121
1998-03-01,1998,6947
1998-04-01,1998,6835
1998-05-01,1998,7273
1998-06-01,1998,6929
1998-07-01,1998,7315
1998-08-01,1998,7052
1998-09-01,1998,7012
1998-10-01,1998,6755
1998-11-01,1998,6159
1998-12-01,1998,6509
1999-01-01,1999,6353
1999-02-01,1999,6003
1999-03-01,1999,6750
1999-04-01,1999,6663
1999-05-01,1999,7179
1999-06-01,1999,7047
1999-07-01,1999,7283
1999-08-01,1999,7181
1999-09-01,1999,6966
1999-10-01,1999,6633
1999-11-01,1999,6273
1999-12-01,1999,6608
1999-01-01,1999,6353
1999-02-01,1999,6003
1999-03-01,1999,6750
1999-04-01,1999,6663
1999-05-01,1999,7179
1999-06-01,1999,7047
1999-07-01,1999,7283
1999-08-01,1999,7181
1999-09-01,1999,6966
1999-10-01,1999,6633
1999-11-01,1999,6273
1999-12-01,1999,6608
1999-01-01,1999,6353
1999-02-01,1999,6003
1999-03-01,1999,6750
1999-04-01,1999,6663
1999-05-01,1999,7179
1999-06-01,1999,7047
1999-07-01,1999,7283
1999-08-01,1999,7181
1999-09-01,1999,6966
1999-10-01,1999,6633
1999-11-01,1999,6273
1999-12-01,1999,6608
1999-01-01,1999,6353
1999-02-01,1999,6003
1999-03-01,1999,6750
1999-04-01,1999,6663
1999-05-01,1999,7179
1999-06-01,1999,7047
1999-07-01,1999,7283
1999-08-01,1999,7181
1999-09-01,1999,6966
1999-10-01,1999,6633
1999-11-01,1999,6273
1999-12-01,1999,6608
1999-01-01,1999,6353
1999-02-01,1999,6003
1999-03-01,1999,6750
1999-04-01,1999,6663
1999-05-01,1999,7179
1999-06-01,1999,7047
1999-07-01,1999,7283
1999-08-01,1999,7181
1999-09-01,1999,6966
1999-10-01,1999,6633
1999-11-01,1999,6273
1999-12-01,1999,6608
1999-01-01,1999,6353
1999-02-01,1999,6003
1999-03-01,1999,6750
1999-04-01,1999,6663
